电影名	评分	评价人数	链接	时间	演员																			
西虹市首富	6.7	(294934人评价)	https://movie.douban.com/subject/27605698/	2018-07-27(中国大陆)	['沈腾', '宋芸桦', '张一鸣', '张晨光', '常远', '魏翔', '赵自强', '九孔', '李立群', '王成思', '徐冬冬', '艾伦', '杨皓宇', '黄才伦', '王力宏', '包贝尔', '郎咸平', '张绍刚', '杨文哲', '陶亮', '王赞', '黄杨', '刘鉴', '杨沅翰', '林炳宝', '骆佳...']
我不是药神	9.0	(691312人评价)	https://movie.douban.com/subject/26752088/	2018-06-30(大规模点映),2018-07-05(中国大陆)	['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑', '中国大陆', '文牧野...']
超时空同居	6.9	(221898人评价)	https://movie.douban.com/subject/27133303/	2018-05-18(中国大陆)	['雷佳音', '佟丽娅', '张衣', '于和伟', '王正佳', '陶虹', '李念', '李光洁', '杨玏', '范明', '徐峥', '杨迪', '方龄', '陈昊', '中国大陆', '苏伦', '101分钟', '喜剧', '爱情', '奇幻', '苏伦', 'Lun', 'Su', '汉语普通话']
死侍2	7.5	(86178人评价)	https://movie.douban.com/subject/26588308/	2018-05-18(美国)	['瑞恩·雷诺兹', '乔什·布洛林', '莫蕾娜·巴卡林', '朱利安·迪尼森', '莎姬·贝兹', 'T·J·米勒', '莱斯利·格塞斯', '卡兰·索尼', '布里安娜·希德布兰德', '杰克·凯西', '埃迪·马森', '忽那汐里', '斯蒂芬·卡皮契奇', '兰德尔·瑞德...']
三傻大闹宝莱坞	9.2	(818335人评价)	https://movie.douban.com/subject/3793023/	2009-12-25(印度),2011-12-08(中国大陆)	['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达', '博曼·伊拉尼', '莫娜·辛格', '拉杰夫·拉宾德拉纳特安', '印度', '拉吉库马尔·希拉尼', '171分钟(印度)', '三傻大闹宝莱坞', '剧情...']
羞羞的铁拳	6.9	(389365人评价)	https://movie.douban.com/subject/27038183/	2017-09-30(中国大陆)	['艾伦', '马丽', '沈腾', '田雨', '宋阳', '薛皓文', '常远', '黄才伦', '王智', '中国大陆', '宋阳', '张吃鱼', '100分钟', '喜剧', '奇幻', '张吃鱼', '宋阳', 'Yang', 'Song', '汉语普通话']
唐人街探案2	6.7	(407907人评价)	https://movie.douban.com/subject/26698897/	2018-02-16(中国大陆)	['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚', '中国大陆', '陈思诚', '121分钟', '喜剧', '动作', '犯罪', '悬疑', '陈思诚', 'Sicheng...']
疯狂动物城	9.2	(651863人评价)	https://movie.douban.com/subject/25662329/	2016-03-04(中国大陆),2016-03-04(美国)	['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯', '邦尼·亨特', '唐·雷克', '汤米·钟', 'J·K·西蒙斯', '奥克塔维亚·斯宾瑟', '艾伦·图代克', '夏奇拉', '雷蒙德·S·佩尔西...']
金秘书为何那样	8.2	(36949人评价)	https://movie.douban.com/subject/30181455/	2018-06-06(韩国)	['朴叙俊', '朴敏英', '李泰焕', '姜其永', '黄灿盛', '表艺珍', '金秉玉', '金惠玉', '黄宝罗', '姜宏硕', '李宥俊', '李贞敏', '金政云', '金艺媛', '洪智允', '赵德贤', '朴秉恩', '韩国', 'program.tving.com', 'tvn', 'secretarykim', '朴俊和', '60分钟', '金秘书为何那样...']
超人总动员2	8.1	(86464人评价)	https://movie.douban.com/subject/25849049/	2018-06-15(美国),2018-06-22(中国大陆)	['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯...']
